# STEVAL-MKI168V1 (IIS2DH) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],acc_x[LSB],acc_y[LSB],acc_z[LSB],int_1,int_2
38396451,-10.000,35.000,1088.000,-10,35,1088,0,0
38397202,-9.000,18.000,1110.000,-9,18,1110,0,0
38397955,-7.000,25.000,1083.000,-7,25,1083,0,0
38398706,-6.000,25.000,1088.000,-6,25,1088,0,0
38399458,-12.000,10.000,1104.000,-12,10,1104,0,0
38400216,-9.000,29.000,1085.000,-9,29,1085,0,0
38400968,-5.000,24.000,1106.000,-5,24,1106,0,0
38401719,-8.000,22.000,1099.000,-8,22,1099,0,0
38402471,-3.000,35.000,1095.000,-3,35,1095,0,0
38403223,-3.000,18.000,1110.000,-3,18,1110,0,0
38403974,-6.000,28.000,1086.000,-6,28,1086,0,0
38404726,1.000,26.000,1090.000,1,26,1090,0,0
38405486,-8.000,17.000,1103.000,-8,17,1103,0,0
38406238,-4.000,33.000,1086.000,-4,33,1086,0,0
38406991,-4.000,25.000,1106.000,-4,25,1106,0,0
38407741,-9.000,25.000,1101.000,-9,25,1101,0,0
38408492,-3.000,38.000,1099.000,-3,38,1099,0,0
38409244,-4.000,20.000,1105.000,-4,20,1105,0,0
38409996,-4.000,33.000,1091.000,-4,33,1091,0,0
38410748,-1.000,30.000,1100.000,-1,30,1100,0,0
38411500,-7.000,20.000,1100.000,-7,20,1100,0,0
38412252,-3.000,35.000,1084.000,-3,35,1084,0,0
38413011,-5.000,22.000,1100.000,-5,22,1100,0,0
38413761,-9.000,20.000,1094.000,-9,20,1094,0,0
38414513,-5.000,33.000,1089.000,-5,33,1089,0,0
38415265,-11.000,19.000,1111.000,-11,19,1111,0,0
38416016,-13.000,33.000,1087.000,-13,33,1087,0,0
38416768,-8.000,32.000,1095.000,-8,32,1095,0,0
38417520,-12.000,16.000,1100.000,-12,16,1100,0,0
38418278,-6.000,33.000,1091.000,-6,33,1091,0,0
38419031,-6.000,23.000,1102.000,-6,23,1102,0,0
38419783,-14.000,24.000,1084.000,-14,24,1084,0,0
38420533,-6.000,33.000,1092.000,-6,33,1092,0,0
38421284,-10.000,20.000,1105.000,-10,20,1105,0,0
38422043,-5.000,31.000,1088.000,-5,31,1088,0,0
38422794,-4.000,31.000,1094.000,-4,31,1094,0,0
38423546,-11.000,19.000,1099.000,-11,19,1099,0,0
38424297,-8.000,38.000,1091.000,-8,38,1091,0,0
38425049,-6.000,25.000,1109.000,-6,25,1109,0,0
38425799,-11.000,27.000,1096.000,-11,27,1096,0,0
38426559,-3.000,35.000,1094.000,-3,35,1094,0,0
38427311,-8.000,23.000,1111.000,-8,23,1111,0,0
38428064,-6.000,34.000,1092.000,-6,34,1092,0,0
38428815,-5.000,30.000,1104.000,-5,30,1104,0,0
38429567,-12.000,21.000,1102.000,-12,21,1102,0,0
38430319,-9.000,37.000,1088.000,-9,37,1088,0,0
38431072,-9.000,26.000,1105.000,-9,26,1105,0,0
38431823,-10.000,27.000,1092.000,-10,27,1092,0,0
38432575,-6.000,35.000,1098.000,-6,35,1098,0,0
38433327,-11.000,17.000,1113.000,-11,17,1113,0,0
38434078,-8.000,29.000,1086.000,-8,29,1086,0,0
38434829,-7.000,28.000,1101.000,-7,28,1101,0,0
38435580,-12.000,18.000,1104.000,-12,18,1104,0,0
38436340,-3.000,35.000,1091.000,-3,35,1091,0,0
38437091,1.000,22.000,1107.000,1,22,1107,0,0
38437843,-4.000,23.000,1097.000,-4,23,1097,0,0
38438594,-3.000,33.000,1096.000,-3,33,1096,0,0
38439346,-11.000,21.000,1108.000,-11,21,1108,0,0
38440098,-6.000,40.000,1093.000,-6,40,1093,0,0
38440849,-6.000,30.000,1101.000,-6,30,1101,0,0
38441601,-14.000,21.000,1098.000,-14,21,1098,0,0
