# STEVAL-MKI208V1K (IIS3DWB) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],acc_x[LSB],acc_y[LSB],acc_z[LSB],int_1
7158625,55.632,-145.790,954.894,912,-2390,15654,0
7158663,39.040,-165.249,964.776,640,-2709,15816,0
7158696,77.226,-156.221,931.165,1266,-2561,15265,0
7158733,42.273,-181.475,932.995,693,-2975,15295,0
7158773,72.102,-179.218,952.576,1182,-2938,15616,0
7158807,96.502,-181.963,954.528,1582,-2983,15648,0
7158845,80.398,-201.361,941.840,1318,-3301,15440,0
7158882,107.970,-175.192,985.272,1770,-2872,16152,0
7158919,79.056,-213.134,985.760,1296,-3494,16160,0
7158956,84.546,-203.618,999.790,1386,-3338,16390,0
7158993,50.081,-210.450,1023.641,821,-3450,16781,0
7159032,62.952,-199.104,1018.944,1032,-3264,16704,0
7159067,8.296,-190.564,1072.624,136,-3124,17584,0
7159105,25.742,-199.592,1081.530,422,-3272,17730,0
7159142,32.635,-187.819,1108.614,535,-3079,18174,0
7159179,16.104,-195.078,1094.157,264,-3198,17937,0
7159216,20.191,-189.222,1104.405,331,-3102,18105,0
7159254,0.000,-160.674,1115.202,0,-2634,18282,0
7159291,17.446,-135.847,1124.962,286,-2227,18442,0
7159328,9.638,-99.308,1127.280,158,-1628,18480,0
7159366,-5.978,-80.764,1138.504,-98,-1324,18664,0
7159401,2.806,-53.192,1146.922,46,-872,18802,0
7159439,16.104,2.379,1111.420,264,39,18220,0
7159477,-26.230,12.749,1136.186,-430,209,18626,0
7159515,-10.126,67.405,1128.195,-166,1105,18495,0
7159550,-28.487,72.346,1154.364,-467,1186,18924,0
7159588,-27.572,111.264,1138.992,-452,1824,18672,0
7159627,-36.722,116.632,1134.783,-602,1912,18603,0
7159665,-44.530,130.235,1138.992,-730,2135,18672,0
7159701,-41.785,154.147,1122.644,-685,2527,18404,0
7159737,-63.440,164.578,1150.216,-1040,2698,18856,0
7159774,-31.232,191.662,1142.225,-512,3142,18725,0
7159815,-68.930,174.948,1123.986,-1130,2868,18426,0
7159852,-68.015,189.832,1138.504,-1115,3112,18664,0
7159886,-56.486,191.174,1096.475,-926,3134,17975,0
7159923,-68.930,206.119,1121.180,-1130,3379,18380,0
7159962,-42.273,201.544,1085.678,-693,3304,17798,0
7159997,-21.594,186.233,1068.476,-354,3053,17516,0
7160034,29.890,192.089,1043.222,490,3149,17102,0
7160071,9.638,156.892,1062.376,158,2572,17416,0
7160108,29.402,158.234,1036.756,482,2594,16996,0
7160145,21.106,137.494,1000.278,346,2254,16398,0
7160183,35.868,113.948,1009.123,588,1868,16543,0
7160220,30.805,106.750,994.178,505,1750,16298,0
7160259,26.230,60.634,991.860,430,994,16260,0
7160296,21.106,62.037,977.830,346,1017,16030,0
7160334,6.466,31.293,976.000,106,513,16000,0
7160369,22.936,-6.710,967.582,376,-110,15862,0
7160406,19.764,-31.110,969.412,324,-510,15892,0
7160443,14.274,-70.394,951.234,234,-1154,15594,0
7160480,17.934,-100.223,962.458,294,-1643,15778,0
7160518,44.103,-120.475,943.731,723,-1975,15471,0
7160555,26.230,-126.819,946.110,430,-2079,15510,0
7160592,60.634,-133.590,955.443,994,-2190,15663,0
7160629,46.848,-146.278,949.343,768,-2398,15563,0
7160666,64.294,-164.334,933.910,1054,-2694,15310,0
7160703,74.420,-170.251,955.870,1220,-2791,15670,0
7160741,75.335,-182.878,951.234,1235,-2998,15594,0
7160778,81.801,-158.478,930.677,1341,-2598,15257,0
7160814,76.250,-181.536,983.442,1250,-2976,16122,0
7160851,114.802,-162.077,962.458,1882,-2657,15778,0
7160890,93.696,-190.991,969.412,1536,-3131,15892,0
7160926,94.184,-207.278,992.836,1544,-3398,16276,0
7160967,74.420,-207.278,1030.168,1220,-3398,16888,0
7161000,58.316,-201.849,1021.262,956,-3309,16742,0
7161038,56.059,-189.588,1027.362,919,-3108,16842,0
7161075,20.679,-199.592,1050.664,339,-3272,17224,0
7161112,26.596,-195.078,1067.500,436,-3198,17500,0
